CMIP6 Compund Name       CF Standard Name                                                                                                              Physical Parameter Title                                                                                                                             Description
Oday.zooc                mole_concentration_of_zooplankton_expressed_as_carbon_in_sea_water                                                            zooc               Zooplankton Carbon Concentration                                                                                                  sum of zooplankton carbon component concentrations
Oday.zos                 sea_surface_height_above_geoid                                                                                                zos                Sea Surface Height above Geoid                                                                                                    This is the dynamic sea level, so should have zero global area mean. zos is the effective sea level as if sea ice (and snow) at a grid cell were converted to liquid seawater (Campin et al., 2008). For OMIP, do _not _record inverse barometer responses from sea-ice (and snow) loading in zos. See (Griffies et al, 2016, https://doi.org/10.5194/gmd-9-3231-2016).
Oday.zostoga             global_average_thermosteric_sea_level_change                                                                                  zostoga            global_average_thermosteric_sea_level_change                                                                                      Global Average Thermosteric Sea Level Change
Odec.bigthetao           sea_water_conservative_temperature                                                                                            bigthetao          Sea Water Conservative Temperature                                                                                                Diagnostic should be contributed only for models using conservative temperature as prognostic field.
Odec.masscello           sea_water_mass_per_unit_area                                                                                                  masscello          Ocean Grid-Cell Mass per Area                                                                                                     For Boussinesq models, report this diagnostic as Boussinesq reference density times grid celll volume.
Odec.masso               sea_water_mass                                                                                                                masso              Sea Water Mass                                                                                                                    Total mass of liquid sea water. For Boussinesq models, report this diagnostic as Boussinesq reference density times total volume.
Odec.opottemptend        tendency_of_sea_water_potential_temperature_expressed_as_heat_content                                                         opottemptend       Tendency of Sea Water Potential Temperature Expressed as Heat Content                                                             Tendency of heat content for a grid cell from all processes. Reported only for models that use potential temperature as prognostic field.
Odec.so                  sea_water_salinity                                                                                                            so                 Sea Water Salinity                                                                                                                Sea water salinity is the salt content of sea water, often on the Practical Salinity Scale of 1978. However, the unqualified term 'salinity' is generic and does not necessarily imply any particular method of calculation. The units of salinity are dimensionless and the units attribute should normally be given as 1e-3 or 0.001 i.e. parts per thousand.
Odec.tauuo               downward_x_stress_at_sea_water_surface                                                                                        tauuo              Sea Water Surface Downward X Stress                                                                                               This is the stress on the liquid ocean from overlying atmosphere, sea ice, ice shelf, etc.
Odec.tauvo               downward_y_stress_at_sea_water_surface                                                                                        tauvo              Sea Water Surface Downward Y Stress                                                                                               This is the stress on the liquid ocean from overlying atmosphere, sea ice, ice shelf, etc.
Odec.thetao              sea_water_potential_temperature                                                                                               thetao             Sea Water Potential Temperature                                                                                                   Diagnostic should be contributed even for models using conservative temperature as prognostic field.
Odec.thkcello            cell_thickness                                                                                                                thkcello           Ocean Model Cell Thickness                                                                                                        The time varying thickness of ocean cells. "Thickness" means the vertical extent of a layer. "Cell" refers to a model grid-cell.
